"CE_Method","Used_Model","Quality_Metric","Mean_Values","StdDev_Values","Model"
"MOC","Decision tree","Plausibility",0.00735290643683487,0.00892824497844868,"Original"
"MOC","Decision tree","Proximity",0.0313953952990488,0.0295449015692102,"Original"
"MOC","Decision tree","Sparsity",1.16774507757601,0.40801244997563,"Original"
"MOC","Decision tree","Validity",0.189591595352397,0.242600328674367,"Original"
"MOC","Extra trees","Plausibility",0.00946376967650072,0.011053497099613,"Original"
"MOC","Extra trees","Proximity",0.0266568637184088,0.0513268499687475,"Original"
"MOC","Extra trees","Sparsity",1.40112826603325,0.629980142236402,"Original"
"MOC","Extra trees","Validity",0.0865684709379594,0.103187035446989,"Original"
"MOC","Random forest","Plausibility",0.00811842879831223,0.00749418413858252,"Original"
"MOC","Random forest","Proximity",0.0298632427101056,0.0548731160436315,"Original"
"MOC","Random forest","Sparsity",1.40261404407996,0.626774504593072,"Original"
"MOC","Random forest","Validity",0.05764267998503,0.0933077311115806,"Original"
"NICE","Decision tree","Plausibility",0.0057963585932858,0.00380175023720956,"Original"
"NICE","Decision tree","Proximity",0.024786594761171,0.0183904233859017,"Original"
"NICE","Decision tree","Sparsity",1,0,"Original"
"NICE","Decision tree","Validity",0,0,"Original"
"NICE","Extra trees","Plausibility",0.00720266445735871,0.00769989343675942,"Original"
"NICE","Extra trees","Proximity",0.028191147142686,0.0178860657206501,"Original"
"NICE","Extra trees","Sparsity",1.00674915635546,0.081921635414276,"Original"
"NICE","Extra trees","Validity",0,0,"Original"
"NICE","Random forest","Plausibility",0.00839611853104631,0.00763491461576149,"Original"
"NICE","Random forest","Proximity",0.0209590056662992,0.0237172496586306,"Original"
"NICE","Random forest","Sparsity",1.04553734061931,0.225482315507853,"Original"
"NICE","Random forest","Validity",0,0,"Original"
"WhatIf","Decision tree","Plausibility",0,0,"Original"
"WhatIf","Decision tree","Proximity",0.0415620118100281,0.0215048849065022,"Original"
"WhatIf","Decision tree","Sparsity",4.99978813559322,0.0145547916899752,"Original"
"WhatIf","Decision tree","Validity",0,0,"Original"
"WhatIf","Extra trees","Plausibility",0,0,"Original"
"WhatIf","Extra trees","Proximity",0.060879246673429,0.0213290487686392,"Original"
"WhatIf","Extra trees","Sparsity",4.99986719787517,0.0115239804249222,"Original"
"WhatIf","Extra trees","Validity",0,0,"Original"
"WhatIf","Random forest","Plausibility",0,0,"Original"
"WhatIf","Random forest","Proximity",0.0715775179135017,0.0238288832525937,"Original"
"WhatIf","Random forest","Sparsity",4.99963503649635,0.0191040179975219,"Original"
"WhatIf","Random forest","Validity",0,0,"Original"
"MOC","Decision tree","Plausibility",0.0100181494193288,0.00480204874344157,"Undersampling"
"MOC","Decision tree","Proximity",0.00994918372379759,0.0179009784995302,"Undersampling"
"MOC","Decision tree","Sparsity",1.29891304347826,0.551650465076421,"Undersampling"
"MOC","Decision tree","Validity",0.357789855072464,0.225773538720076,"Undersampling"
"MOC","Extra trees","Plausibility",0.0154754039200497,0.0116045590021577,"Undersampling"
"MOC","Extra trees","Proximity",0.0227891969354278,0.0414549893609995,"Undersampling"
"MOC","Extra trees","Sparsity",1.45867759907495,0.662371365515896,"Undersampling"
"MOC","Extra trees","Validity",0.146025106078733,0.128005279282441,"Undersampling"
"MOC","Random forest","Plausibility",0.0139604545745166,0.00998255200423606,"Undersampling"
"MOC","Random forest","Proximity",0.0223858548950423,0.0423439859894535,"Undersampling"
"MOC","Random forest","Sparsity",1.46541346695526,0.671366155869357,"Undersampling"
"MOC","Random forest","Validity",0.0987885347380766,0.120218533465697,"Undersampling"
"NICE","Decision tree","Plausibility",0.010033775920034,0.00482483985698689,"Undersampling"
"NICE","Decision tree","Proximity",0.00393558356571933,0.00189310202279249,"Undersampling"
"NICE","Decision tree","Sparsity",1,0,"Undersampling"
"NICE","Decision tree","Validity",0,0,"Undersampling"
"NICE","Extra trees","Plausibility",0.0120825168133433,0.0100892272223831,"Undersampling"
"NICE","Extra trees","Proximity",0.0350868155398298,0.0227347689197945,"Undersampling"
"NICE","Extra trees","Sparsity",1.07287933094385,0.267542365440856,"Undersampling"
"NICE","Extra trees","Validity",0,0,"Undersampling"
"NICE","Random forest","Plausibility",0.0118720087396442,0.0101530873495943,"Undersampling"
"NICE","Random forest","Proximity",0.0400735711750414,0.0251527007534845,"Undersampling"
"NICE","Random forest","Sparsity",1.02958015267176,0.185598471485701,"Undersampling"
"NICE","Random forest","Validity",0,0,"Undersampling"
"WhatIf","Decision tree","Plausibility",0,0,"Undersampling"
"WhatIf","Decision tree","Proximity",0.031065258873285,0.0203676848541208,"Undersampling"
"WhatIf","Decision tree","Sparsity",4.98095238095238,0.136855402042825,"Undersampling"
"WhatIf","Decision tree","Validity",0,0,"Undersampling"
"WhatIf","Extra trees","Plausibility",0,0,"Undersampling"
"WhatIf","Extra trees","Proximity",0.066214310170616,0.0242410799232574,"Undersampling"
"WhatIf","Extra trees","Sparsity",4.99941634241245,0.0241525423960923,"Undersampling"
"WhatIf","Extra trees","Validity",0,0,"Undersampling"
"WhatIf","Random forest","Plausibility",0,0,"Undersampling"
"WhatIf","Random forest","Proximity",0.127617250502551,0.0696513136278294,"Undersampling"
"WhatIf","Random forest","Sparsity",5.39903089036947,0.490332025097224,"Undersampling"
"WhatIf","Random forest","Validity",0,0,"Undersampling"
"MOC","Decision tree","Plausibility",0.0101558094739535,0.0086308802691621,"Oversampling"
"MOC","Decision tree","Proximity",0.0187943619376559,0.029727216527587,"Oversampling"
"MOC","Decision tree","Sparsity",1.34263959390863,0.623030375135424,"Oversampling"
"MOC","Decision tree","Validity",0.408629441624366,0.193349791969323,"Oversampling"
"MOC","Extra trees","Plausibility",0.00915860274515867,0.00973611658466191,"Oversampling"
"MOC","Extra trees","Proximity",0.0264479629306645,0.0497527342948588,"Oversampling"
"MOC","Extra trees","Sparsity",1.42393818821135,0.644242978957221,"Oversampling"
"MOC","Extra trees","Validity",0.108180475470779,0.11980811906972,"Oversampling"
"MOC","Random forest","Plausibility",0.00540170567222332,0.00302616048202554,"Oversampling"
"MOC","Random forest","Proximity",0.0248747745099873,0.0514040064274732,"Oversampling"
"MOC","Random forest","Sparsity",1.37114643545279,0.607720215251905,"Oversampling"
"MOC","Random forest","Validity",0.046675152345781,0.0882064339679169,"Oversampling"
"NICE","Decision tree","Plausibility",0.0114765159843676,0.00919678216241066,"Oversampling"
"NICE","Decision tree","Proximity",0.000581136397278736,0.000574783603042937,"Oversampling"
"NICE","Decision tree","Sparsity",1,0,"Oversampling"
"NICE","Decision tree","Validity",0,0,"Oversampling"
"NICE","Extra trees","Plausibility",0.00954859097074177,0.00521755328594414,"Oversampling"
"NICE","Extra trees","Proximity",0.00835351199818816,0.0107782671400847,"Oversampling"
"NICE","Extra trees","Sparsity",1.39275362318841,0.597113770304464,"Oversampling"
"NICE","Extra trees","Validity",0,0,"Oversampling"
"NICE","Random forest","Plausibility",0.00732398529885416,0.00268327739538372,"Oversampling"
"NICE","Random forest","Proximity",0.00191263847181978,0.00250890487503932,"Oversampling"
"NICE","Random forest","Sparsity",1.01910112359551,0.144938142419774,"Oversampling"
"NICE","Random forest","Validity",0,0,"Oversampling"
"WhatIf","Decision tree","Plausibility",0,0,"Oversampling"
"WhatIf","Decision tree","Proximity",0.0299701789272362,0.0185960819776393,"Oversampling"
"WhatIf","Decision tree","Sparsity",4.96338028169014,0.187958700126852,"Oversampling"
"WhatIf","Decision tree","Validity",0,0,"Oversampling"
"WhatIf","Extra trees","Plausibility",0,0,"Oversampling"
"WhatIf","Extra trees","Proximity",0.19458689775431,0.0177219062610833,"Oversampling"
"WhatIf","Extra trees","Sparsity",5.99464720194647,0.0729697022450701,"Oversampling"
"WhatIf","Extra trees","Validity",0,0,"Oversampling"
"WhatIf","Random forest","Plausibility",0,0,"Oversampling"
"WhatIf","Random forest","Proximity",0.188179327672873,0.0137926382494554,"Oversampling"
"WhatIf","Random forest","Sparsity",5.99436201780415,0.0748856421875474,"Oversampling"
"WhatIf","Random forest","Validity",0,0,"Oversampling"
"MOC","Decision tree","Plausibility",0.00442794592412542,0.0062735422426386,"SMOTE"
"MOC","Decision tree","Proximity",0.0224702671586712,0.0252208206412288,"SMOTE"
"MOC","Decision tree","Sparsity",1.16918781870495,0.409636693327693,"SMOTE"
"MOC","Decision tree","Validity",0.282411759678658,0.247893582878122,"SMOTE"
"MOC","Extra trees","Plausibility",0.00751567890232884,0.0103821899145868,"SMOTE"
"MOC","Extra trees","Proximity",0.0209294540457459,0.0421070073530587,"SMOTE"
"MOC","Extra trees","Sparsity",1.40457570144748,0.619297422249818,"SMOTE"
"MOC","Extra trees","Validity",0.11747834322062,0.121333128832714,"SMOTE"
"MOC","Random forest","Plausibility",0.00440556518223642,0.0044646474738037,"SMOTE"
"MOC","Random forest","Proximity",0.0201757999899422,0.0448644262966932,"SMOTE"
"MOC","Random forest","Sparsity",1.35564789165897,0.590194584772962,"SMOTE"
"MOC","Random forest","Validity",0.0652591157474583,0.0999971184752588,"SMOTE"
"NICE","Decision tree","Plausibility",0.00285157735405851,0.00414937892766433,"SMOTE"
"NICE","Decision tree","Proximity",0.0269106199760322,0.0208953513028058,"SMOTE"
"NICE","Decision tree","Sparsity",1.00174825174825,0.0417828408043272,"SMOTE"
"NICE","Decision tree","Validity",0,0,"SMOTE"
"NICE","Extra trees","Plausibility",0.00380834758498625,0.00614147520931297,"SMOTE"
"NICE","Extra trees","Proximity",0.0283747716068771,0.0210299986097617,"SMOTE"
"NICE","Extra trees","Sparsity",1.01248699271592,0.11107424011294,"SMOTE"
"NICE","Extra trees","Validity",0,0,"SMOTE"
"NICE","Random forest","Plausibility",0.00422449388306425,0.00393706290419927,"SMOTE"
"NICE","Random forest","Proximity",0.0152406283078575,0.019778697016781,"SMOTE"
"NICE","Random forest","Sparsity",1.00734618916437,0.0854337467261843,"SMOTE"
"NICE","Random forest","Validity",0,0,"SMOTE"
"WhatIf","Decision tree","Plausibility",0,0,"SMOTE"
"WhatIf","Decision tree","Proximity",0.0328825864474214,0.0228146979709163,"SMOTE"
"WhatIf","Decision tree","Sparsity",4.99961538461538,0.0196081844903969,"SMOTE"
"WhatIf","Decision tree","Validity",0,0,"SMOTE"
"WhatIf","Extra trees","Plausibility",0,0,"SMOTE"
"WhatIf","Extra trees","Proximity",0.0445360316249362,0.0214267851888019,"SMOTE"
"WhatIf","Extra trees","Sparsity",5,0,"SMOTE"
"WhatIf","Extra trees","Validity",0,0,"SMOTE"
"WhatIf","Random forest","Plausibility",0,0,"SMOTE"
"WhatIf","Random forest","Proximity",0.0452544849916817,0.0194595788936205,"SMOTE"
"WhatIf","Random forest","Sparsity",5,0,"SMOTE"
"WhatIf","Random forest","Validity",0,0,"SMOTE"
"MOC","Decision tree","Plausibility",0.00649692303386707,0.00795037135270831,"Cost-sensitive"
"MOC","Decision tree","Proximity",0.0282284776137553,0.0276239648399247,"Cost-sensitive"
"MOC","Decision tree","Sparsity",1.17101018893042,0.417538318312551,"Cost-sensitive"
"MOC","Decision tree","Validity",0.221161230863754,0.248337437803989,"Cost-sensitive"
"MOC","Extra trees","Plausibility",0.00944952821531392,0.010190120220835,"Cost-sensitive"
"MOC","Extra trees","Proximity",0.0260133809655009,0.0496601585657141,"Cost-sensitive"
"MOC","Extra trees","Sparsity",1.41819345547644,0.633511156195543,"Cost-sensitive"
"MOC","Extra trees","Validity",0.111002094612014,0.118858807120131,"Cost-sensitive"
"MOC","Random forest","Plausibility",0.00625512733461495,0.00460690640767662,"Cost-sensitive"
"MOC","Random forest","Proximity",0.0291821583469993,0.0567263089807396,"Cost-sensitive"
"MOC","Random forest","Sparsity",1.39777190029655,0.622134860084027,"Cost-sensitive"
"MOC","Random forest","Validity",0.0619766349766108,0.0939895301773535,"Cost-sensitive"
"NICE","Decision tree","Plausibility",0.005868077400484,0.00352848033672668,"Cost-sensitive"
"NICE","Decision tree","Proximity",0.0217126307697589,0.0186385546845332,"Cost-sensitive"
"NICE","Decision tree","Sparsity",1.00440852314475,0.0662745451818973,"Cost-sensitive"
"NICE","Decision tree","Validity",0,0,"Cost-sensitive"
"NICE","Extra trees","Plausibility",0.00998528090312681,0.00563401753659716,"Cost-sensitive"
"NICE","Extra trees","Proximity",0.0129550033470754,0.0154149640743948,"Cost-sensitive"
"NICE","Extra trees","Sparsity",1.40553435114504,0.519452530570726,"Cost-sensitive"
"NICE","Extra trees","Validity",0,0,"Cost-sensitive"
"NICE","Random forest","Plausibility",0.00830448188706821,0.0035873985887333,"Cost-sensitive"
"NICE","Random forest","Proximity",0.0023639337040676,0.00413857734180343,"Cost-sensitive"
"NICE","Random forest","Sparsity",1.0506329113924,0.248824876392931,"Cost-sensitive"
"NICE","Random forest","Validity",0,0,"Cost-sensitive"
"WhatIf","Decision tree","Plausibility",0,0,"Cost-sensitive"
"WhatIf","Decision tree","Proximity",0.0372515537636798,0.0216175668543897,"Cost-sensitive"
"WhatIf","Decision tree","Sparsity",4.99933872152829,0.0257077758980234,"Cost-sensitive"
"WhatIf","Decision tree","Validity",0,0,"Cost-sensitive"
"WhatIf","Extra trees","Plausibility",0,0,"Cost-sensitive"
"WhatIf","Extra trees","Proximity",0.194821501914003,0.0183489173015865,"Cost-sensitive"
"WhatIf","Extra trees","Sparsity",5.99556390977444,0.0664585842088695,"Cost-sensitive"
"WhatIf","Extra trees","Validity",0,0,"Cost-sensitive"
"WhatIf","Random forest","Plausibility",0,0,"Cost-sensitive"
"WhatIf","Random forest","Proximity",0.190493459007771,0.0150270634580491,"Cost-sensitive"
"WhatIf","Random forest","Sparsity",5.99344790547798,0.0806837270636699,"Cost-sensitive"
"WhatIf","Random forest","Validity",0,0,"Cost-sensitive"
